Giong_Lua,Mat_Do_Sa,Nhiet_Do,Do_Am,Mau_La,Tinh_Trang_Benh,Phuong_Phap
JASMIN85,low,high,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
OM2718,low,high,high,5,0,0
OM2718,low,high,high,5,1,7
OM2718,low,high,high,5,2,8
OM2718,low,high,high,5,3,9
OM2718,low,high,high,5,4,10
OM2718,low,high,high,5,5,11
OM576,low,high,high,4,0,0
OM576,low,high,high,4,1,33
OM576,low,high,high,4,2,34
OM576,low,high,high,4,3,35
OM576,low,high,high,4,4,36
OM576,low,high,high,4,5,37
OM2037,low,low,high,4,0,0
OM2037,low,low,high,4,1,33
OM2037,low,low,high,4,2,34
OM2037,low,low,high,4,3,35
OM2037,low,low,high,4,4,36
OM2037,low,low,high,4,5,37
OM1490,low,high,high,4,0,0
OM1490,low,high,high,4,1,33
OM1490,low,high,high,4,2,34
OM1490,low,high,high,4,3,35
OM1490,low,high,high,4,4,36
OM1490,low,high,high,4,5,37
OM3240,low,high,high,4,0,0
OM3240,low,high,high,4,1,28
OM3240,low,high,high,4,2,29
OM3240,low,high,high,4,3,30
OM3240,low,high,high,4,4,31
OM3240,low,high,high,4,5,32
OM576,low,high,high,4,0,0
OM576,low,high,high,4,1,33
OM576,low,high,high,4,2,34
OM576,low,high,high,4,3,35
OM576,low,high,high,4,4,36
OM576,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
IR64,low,high,high,4,0,0
IR64,low,high,high,4,1,28
IR64,low,high,high,4,2,29
IR64,low,high,high,4,3,30
IR64,low,high,high,4,4,31
IR64,low,high,high,4,5,32
VD20,low,high,low,4,0,0
VD20,low,high,low,4,1,33
VD20,low,high,low,4,2,34
VD20,low,high,low,4,3,35
VD20,low,high,low,4,4,36
VD20,low,high,low,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,low,5,0,0
JASMIN85,low,high,low,5,1,7
JASMIN85,low,high,low,5,2,8
JASMIN85,low,high,low,5,3,9
JASMIN85,low,high,low,5,4,10
JASMIN85,low,high,low,5,5,11
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
VD20,low,high,high,4,0,0
VD20,low,high,high,4,1,33
VD20,low,high,high,4,2,34
VD20,low,high,high,4,3,35
VD20,low,high,high,4,4,36
VD20,low,high,high,4,5,37
OMCS2000,low,low,high,4,0,0
OMCS2000,low,low,high,4,1,33
OMCS2000,low,low,high,4,2,34
OMCS2000,low,low,high,4,3,35
OMCS2000,low,low,high,4,4,36
OMCS2000,low,low,high,4,5,37
IR50404,low,low,high,4,0,0
IR50404,low,low,high,4,1,33
IR50404,low,low,high,4,2,34
IR50404,low,low,high,4,3,35
IR50404,low,low,high,4,4,36
IR50404,low,low,high,4,5,37
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OMCS2000,low,low,high,4,0,0
OMCS2000,low,low,high,4,1,33
OMCS2000,low,low,high,4,2,34
OMCS2000,low,low,high,4,3,35
OMCS2000,low,low,high,4,4,36
OMCS2000,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,1
OM1490,low,low,high,4,2,3
OM1490,low,low,high,4,3,4
OM1490,low,low,high,4,4,5
OM1490,low,low,high,4,5,6
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,1
JASMIN85,low,high,high,5,2,3
JASMIN85,low,high,high,5,3,4
JASMIN85,low,high,high,5,4,5
JASMIN85,low,high,high,5,5,6
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,7
JASMIN85,low,high,high,5,2,8
JASMIN85,low,high,high,5,3,9
JASMIN85,low,high,high,5,4,10
JASMIN85,low,high,high,5,5,11
OM1490,low,high,high,4,0,0
OM1490,low,high,high,4,1,33
OM1490,low,high,high,4,2,34
OM1490,low,high,high,4,3,35
OM1490,low,high,high,4,4,36
OM1490,low,high,high,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,low,high,5,0,0
JASMIN85,low,low,high,5,1,7
JASMIN85,low,low,high,5,2,8
JASMIN85,low,low,high,5,3,9
JASMIN85,low,low,high,5,4,10
JASMIN85,low,low,high,5,5,11
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OMCS2000,low,low,high,4,0,0
OMCS2000,low,low,high,4,1,33
OMCS2000,low,low,high,4,2,34
OMCS2000,low,low,high,4,3,35
OMCS2000,low,low,high,4,4,36
OMCS2000,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,33
JASMIN85,low,high,high,5,2,34
JASMIN85,low,high,high,5,3,35
JASMIN85,low,high,high,5,4,36
JASMIN85,low,high,high,5,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,low,low,4,0,0
JASMIN85,low,low,low,4,1,33
JASMIN85,low,low,low,4,2,34
JASMIN85,low,low,low,4,3,35
JASMIN85,low,low,low,4,4,36
JASMIN85,low,low,low,4,5,37
JASMIN85,low,low,low,4,0,0
JASMIN85,low,low,low,4,1,33
JASMIN85,low,low,low,4,2,34
JASMIN85,low,low,low,4,3,35
JASMIN85,low,low,low,4,4,36
JASMIN85,low,low,low,4,5,37
JASMIN85,low,low,low,4,0,0
JASMIN85,low,low,low,4,1,33
JASMIN85,low,low,low,4,2,34
JASMIN85,low,low,low,4,3,35
JASMIN85,low,low,low,4,4,36
JASMIN85,low,low,low,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,12
JASMIN85,low,low,high,4,2,13
JASMIN85,low,low,high,4,3,14
JASMIN85,low,low,high,4,4,15
JASMIN85,low,low,high,4,5,16
OM1490,low,high,low,4,0,0
OM1490,low,high,low,4,1,33
OM1490,low,high,low,4,2,34
OM1490,low,high,low,4,3,35
OM1490,low,high,low,4,4,36
OM1490,low,high,low,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OMCS2000,low,low,high,4,0,0
OMCS2000,low,low,high,4,1,33
OMCS2000,low,low,high,4,2,34
OMCS2000,low,low,high,4,3,35
OMCS2000,low,low,high,4,4,36
OMCS2000,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,1
OM1490,low,low,high,4,2,3
OM1490,low,low,high,4,3,4
OM1490,low,low,high,4,4,5
OM1490,low,low,high,4,5,6
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,7
JASMIN85,low,high,high,5,2,8
JASMIN85,low,high,high,5,3,9
JASMIN85,low,high,high,5,4,10
JASMIN85,low,high,high,5,5,11
OM1490,low,high,high,4,0,0
OM1490,low,high,high,4,1,33
OM1490,low,high,high,4,2,34
OM1490,low,high,high,4,3,35
OM1490,low,high,high,4,4,36
OM1490,low,high,high,4,5,37
JASMIN85,low,low,high,5,0,0
JASMIN85,low,low,high,5,1,7
JASMIN85,low,low,high,5,2,8
JASMIN85,low,low,high,5,3,9
JASMIN85,low,low,high,5,4,10
JASMIN85,low,low,high,5,5,11
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,7
JASMIN85,low,high,high,5,2,8
JASMIN85,low,high,high,5,3,9
JASMIN85,low,high,high,5,4,10
JASMIN85,low,high,high,5,5,11
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OMCS2000,low,low,high,4,0,0
OMCS2000,low,low,high,4,1,33
OMCS2000,low,low,high,4,2,34
OMCS2000,low,low,high,4,3,35
OMCS2000,low,low,high,4,4,36
OMCS2000,low,low,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,5,0,0
JASMIN85,low,high,high,5,1,7
JASMIN85,low,high,high,5,2,8
JASMIN85,low,high,high,5,3,9
JASMIN85,low,high,high,5,4,10
JASMIN85,low,high,high,5,5,11
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
OM1490,low,low,high,4,0,0
OM1490,low,low,high,4,1,33
OM1490,low,low,high,4,2,34
OM1490,low,low,high,4,3,35
OM1490,low,low,high,4,4,36
OM1490,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,high,low,4,5,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
JASMIN85,low,low,high,4,0,0
JASMIN85,low,low,high,4,1,33
JASMIN85,low,low,high,4,2,34
JASMIN85,low,low,high,4,3,35
JASMIN85,low,low,high,4,4,36
JASMIN85,low,low,high,4,5,37
JASMIN85,low,low,low,4,0,0
JASMIN85,low,low,low,4,1,33
JASMIN85,low,low,low,4,2,34
JASMIN85,low,low,low,4,3,35
JASMIN85,low,low,low,4,4,36
JASMIN85,low,low,low,4,5,37
JASMIN85,low,high,low,5,0,0
JASMIN85,low,high,low,5,1,7
JASMIN85,low,high,low,5,2,8
JASMIN85,low,high,low,5,3,9
JASMIN85,low,high,low,5,4,10
JASMIN85,low,high,low,5,5,11
JASMIN85,low,high,low,5,0,0
JASMIN85,low,high,low,5,1,7
JASMIN85,low,high,low,5,2,8
JASMIN85,low,high,low,5,3,9
JASMIN85,low,high,low,5,4,10
JASMIN85,low,high,low,5,5,11
JASMIN85,low,high,high,3,0,0
JASMIN85,low,high,high,3,1,33
JASMIN85,low,high,high,3,2,34
JASMIN85,low,high,high,3,3,35
JASMIN85,low,high,high,3,4,36
JASMIN85,low,high,high,3,5,37
IR50404,low,high,high,3,0,0
IR50404,low,high,high,3,1,33
IR50404,low,high,high,3,2,34
IR50404,low,high,high,3,3,35
IR50404,low,high,high,3,4,36
IR50404,low,high,high,3,5,37
JASMIN85,low,high,high,3,0,0
JASMIN85,low,high,high,3,1,33
JASMIN85,low,high,high,3,2,34
JASMIN85,low,high,high,3,3,35
JASMIN85,low,high,high,3,4,36
JASMIN85,low,high,high,3,5,37
JASMIN85,low,high,high,3,0,0
JASMIN85,low,high,high,3,1,33
JASMIN85,low,high,high,3,2,34
JASMIN85,low,high,high,3,3,35
JASMIN85,low,high,high,3,4,36
JASMIN85,low,high,high,3,5,37
IR50404,low,high,high,4,0,0
IR50404,low,high,high,4,1,33
IR50404,low,high,high,4,2,34
IR50404,low,high,high,4,3,35
IR50404,low,high,high,4,4,36
IR50404,low,high,high,4,5,37
IR50404,low,high,high,5,0,0
IR50404,low,high,high,5,1,7
IR50404,low,high,high,5,2,8
IR50404,low,high,high,5,3,9
IR50404,low,high,high,5,4,10
IR50404,low,high,high,5,5,11
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,high,4,0,0
JASMIN85,low,high,high,4,1,33
JASMIN85,low,high,high,4,2,34
JASMIN85,low,high,high,4,3,35
JASMIN85,low,high,high,4,4,36
JASMIN85,low,high,high,4,5,37
JASMIN85,low,high,low,4,0,0
JASMIN85,low,high,low,4,1,33
JASMIN85,low,high,low,4,2,34
JASMIN85,low,high,low,4,3,35
JASMIN85,low,high,low,4,4,36
JASMIN85,low,high,low,4,5,37
OM2717,low,high,high,4,1,0
OM2717,low,high,high,4,2,33
OM2717,low,high,high,4,2,34
OM2717,low,high,high,4,2,35
OM2717,low,high,high,4,3,36
OM2717,low,high,high,4,4,37
VD20,low,high,low,4,0,0
VD20,low,high,low,4,1,33
VD20,low,high,low,4,2,34
VD20,low,high,low,4,3,35
VD20,low,high,low,4,4,36
VD20,low,high,low,4,5,37
VD20,low,high,low,3,0,0
VD20,low,high,low,3,1,33
VD20,low,high,low,3,2,34
VD20,low,high,low,3,3,35
VD20,low,high,low,3,4,36
VD20,low,high,low,3,5,37
VD20,low,high,low,5,0,0
VD20,low,high,low,5,1,7
VD20,low,high,low,5,2,8
VD20,low,high,low,5,3,9
VD20,low,high,low,5,4,10
VD20,low,high,low,5,5,11
VD20,low,high,low,3,0,0
VD20,low,high,low,3,1,33
VD20,low,high,low,3,2,34
VD20,low,high,low,3,3,35
VD20,low,high,low,3,4,36
VD20,low,high,low,3,5,37
OMCS2000,low,low,high,3,0,0
OMCS2000,low,low,high,3,1,33
OMCS2000,low,low,high,3,2,34
OMCS2000,low,low,high,3,3,35
OMCS2000,low,low,high,3,4,36
OMCS2000,low,low,high,3,5,37
IR50404,low,low,high,4,0,0
IR50404,low,low,high,4,1,33
IR50404,low,low,high,4,2,34
IR50404,low,low,high,4,3,35
IR50404,low,low,high,4,4,36
IR50404,low,low,high,4,5,37
MTL250,low,high,high,5,0,0
MTL250,low,high,high,5,1,23
MTL250,low,high,high,5,2,24
MTL250,low,high,high,5,3,25
MTL250,low,high,high,5,4,26
MTL250,low,high,high,5,5,27
IR50404,low,low,high,4,0,0
IR50404,low,low,high,4,1,33
IR50404,low,low,high,4,2,34
IR50404,low,low,high,4,3,35
IR50404,low,low,high,4,4,36
IR50404,low,low,high,4,5,37
VND95-20,low,high,low,4,0,0
VND95-20,low,high,low,4,1,28
VND95-20,low,high,low,4,2,29
VND95-20,low,high,low,4,3,30
VND95-20,low,high,low,4,4,31
VND95-20,low,high,low,4,5,32
OM576,low,low,high,5,0,0
OM576,low,low,high,5,1,7
OM576,low,low,high,5,2,8
OM576,low,low,high,5,3,9
OM576,low,low,high,5,4,10
OM576,low,low,high,5,5,11
OM576,low,low,high,4,0,0
OM576,low,low,high,4,1,33
OM576,low,low,high,4,2,34
OM576,low,low,high,4,3,35
OM576,low,low,high,4,4,36
OM576,low,low,high,4,5,37
OM2717,low,low,high,6,0,0
OM2717,low,low,high,6,1,7
OM2717,low,low,high,6,2,8
OM2717,low,low,high,6,3,9
OM2717,low,low,high,6,4,10
OM2717,low,low,high,6,5,11
OM576,low,low,high,5,0,0
OM576,low,low,high,5,1,7
OM576,low,low,high,5,2,8
OM576,low,low,high,5,3,9
OM576,low,low,high,5,4,10
OM576,low,low,high,5,5,11
OM576,low,low,high,4,0,0
OM576,low,low,high,4,1,33
OM576,low,low,high,4,2,34
OM576,low,low,high,4,3,35
OM576,low,low,high,4,4,36
OM576,low,low,high,4,5,37
OM576,low,low,high,4,0,0
OM576,low,low,high,4,1,33
OM576,low,low,high,4,2,34
OM576,low,low,high,4,3,35
OM576,low,low,high,4,4,36
OM576,low,low,high,4,5,37
OM576,low,low,high,3,0,0
OM576,low,low,high,3,1,33
OM576,low,low,high,3,2,34
OM576,low,low,high,3,3,35
OM576,low,low,high,3,4,36
OM576,low,low,high,3,5,37
OM576,low,low,high,4,0,0
OM576,low,low,high,4,1,33
OM576,low,low,high,4,2,34
OM576,low,low,high,4,3,35
OM576,low,low,high,4,4,36
OM576,low,low,high,4,5,37
IR50404,low,low,high,5,0,0
IR50404,low,low,high,5,1,7
IR50404,low,low,high,5,2,8
IR50404,low,low,high,5,3,9
IR50404,low,low,high,5,4,10
IR50404,low,low,high,5,5,11
OM2717,low,low,high,4,0,0
OM2717,low,low,high,4,1,33
OM2717,low,low,high,4,2,34
